base_model_name,method_name,random_seed,status_message,number_of_analyzed_matrices
general-instruct-2,graft_proposed,43,analyzed,47
general-instruct-2,graft_proposed,44,analyzed,47
general-instruct-2,graft_proposed_loao_gender,42,analyzed,47
general-instruct-2,graft_proposed_loao_landholding,42,analyzed,47
general-instruct-2,graft_proposed_loao_social_group,42,analyzed,47
general-instruct-2,graft_proposed_qlora_nf4,42,analyzed,47
general-instruct-2,reference_vanilla_lora,42,analyzed,48
general-instruct-2,reference_vanilla_lora,43,analyzed,48
general-instruct-2,reference_vanilla_lora,44,analyzed,48
general-instruct-2,reference_vanilla_lora_loao_gender,42,analyzed,48
general-instruct-2,reference_vanilla_lora_loao_landholding,42,analyzed,48
general-instruct-2,reference_vanilla_lora_loao_social_group,42,analyzed,48
general-instruct-2,reference_vanilla_qlora,42,analyzed,48
general-instruct,ablation_no_condition_adaptive,42,analyzed,48
general-instruct,ablation_no_rationale_loss,42,analyzed,48
general-instruct,ablation_placement_random,42,analyzed,48
general-instruct,ablation_placement_random_draw2,42,analyzed,48
general-instruct,ablation_placement_random_draw3,42,analyzed,48
general-instruct,ablation_placement_uniform,42,analyzed,48
general-instruct,ablation_rank_sweep_16,42,analyzed,48
general-instruct,ablation_rank_sweep_32,42,analyzed,48
general-instruct,ablation_rank_sweep_8,42,analyzed,48
general-instruct,baseline_dart,42,analyzed,48
general-instruct,baseline_dart,43,analyzed,48
general-instruct,baseline_dart,44,analyzed,48
general-instruct,baseline_fairnet,42,analyzed,48
general-instruct,baseline_fairnet,43,analyzed,48
general-instruct,baseline_fairnet,44,analyzed,48
general-instruct,baseline_igu_lora,42,analyzed,48
general-instruct,baseline_lftf,42,analyzed,48
general-instruct,baseline_pedal,42,analyzed,48
general-instruct,baseline_regift,42,analyzed,48
general-instruct,graft_proposed,42,analyzed,48
general-instruct,graft_proposed,43,analyzed,48
general-instruct,graft_proposed,44,analyzed,48
general-instruct,graft_proposed_loao_gender,42,analyzed,48
general-instruct,graft_proposed_loao_landholding,42,analyzed,48
general-instruct,graft_proposed_loao_social_group,42,analyzed,48
general-instruct,graft_proposed_qlora_nf4,42,analyzed,48
general-instruct,reference_vanilla_lora,42,analyzed,48
general-instruct,reference_vanilla_lora,43,analyzed,48
general-instruct,reference_vanilla_lora,44,analyzed,48
general-instruct,reference_vanilla_lora_loao_gender,42,analyzed,48
general-instruct,reference_vanilla_lora_loao_landholding,42,analyzed,48
general-instruct,reference_vanilla_lora_loao_social_group,42,analyzed,48
general-instruct,reference_vanilla_qlora,42,analyzed,48
